-----------------------------------------
| author                        | count |
| "Rohrmuller, J."              | 2     |
| "Bradbury, J. P."             | 6     |
| ""                            | 8     |
| "Bultynck, P."                | 3     |
| "Stromberg, C. A. E."         | 2     |
| "Ruiz, F."                    | 2     |
| "De Schepper, S."             | 3     |
| "Azevedo, S.A.K."             | 4     |
| "Niu, Y."                     | 2     |
| "Varricchio, D."              | 3     |
| "Fryda, J."                   | 2     |
| "Yadav, A."                   | 2     |
| "Fozy, I."                    | 2     |
| "Schneider, S."               | 4     |
| "Singh, A."                   | 3     |
| "Harris, J.D."                | 2     |
| "Jones, W."                   | 2     |
| "Hinnov, L. A."               | 2     |
| "Tikader, A."                 | 2     |
| "Webster, G. D."              | 2     |
| "Dettman, D. L."              | 2     |
| "UNDERWOOD, C. J."            | 2     |
| "McCarthy, P. J."             | 3     |
| "SKOVSTED, C. B."             | 3     |
| "Del Rio, C.J."               | 3     |
| "BRIGGS, D. E."               | 2     |
| "Nott, J."                    | 2     |
| "Vianey-Liaud, M."            | 2     |
| "Semal, P."                   | 2     |
| "Dowsett, H. J."              | 4     |
| "Pojeta, J."                  | 2     |
| "Zagorsek, K."                | 4     |
| "Benton, M.J."                | 2     |
| "Mandic, O."                  | 4     |
| "Hasegawa, T."                | 2     |
| "Burn, M. J."                 | 2     |
| "Lyson, T.R."                 | 3     |
| "Zhang, Z."                   | 7     |
| "Singh, Y.P."                 | 2     |
| "Day, H. W."                  | 2     |
| "Schwarcz, H. P."             | 2     |
| "Boal, D."                    | 2     |
| "Jiang, D.-Y."                | 2     |
| "Afanasjeva, G. A."           | 3     |
| "Hunt, G."                    | 4     |
| "Taghipour, B."               | 3     |
| "Steinke, S."                 | 2     |
| "Matsuoka, H."                | 3     |
| "Calner, M."                  | 4     |
| "Willumsen, P. S."            | 2     |
| "Miyata, K."                  | 2     |
| "Prakash, K."                 | 2     |
| "Roberts, E. M."              | 2     |
| "Brown, E. T."                | 5     |
| "Kellogg, J. N."              | 2     |
| "Salzmann, U."                | 2     |
| "Apesteguia, S."              | 4     |
| "Kase, T."                    | 3     |
| "Sprovieri, M."               | 2     |
| "Marcolini, F."               | 2     |
| "Zhou, A."                    | 2     |
| "Gianechini, F.A."            | 2     |
| "Dorobek, S. L."              | 2     |
| "Shu, D."                     | 3     |
| "FEARNHEAD, F. E."            | 3     |
| "Racheboeuf, P.R."            | 3     |
| "Koneva, S. P."               | 2     |
| "SIMONS, E. L."               | 2     |
| "Saveliev, S. V."             | 2     |
| "Hautmann, M."                | 2     |
| "Schiffman, P."               | 2     |
| "Gorzelak, P."                | 5     |
| "Wang, Q."                    | 7     |
| "Groeneveld, J."              | 2     |
| "Krger, B."                   | 3     |
| "Ren, D."                     | 5     |
| "Galbrun, B."                 | 2     |
| "Fernandez Marron, M. T."     | 2     |
| "LARSEN, E."                  | 2     |
| "Lefebvre, B."                | 4     |
| "Hirayama, R."                | 2     |
| "Yamaguchi, T."               | 2     |
| "Qiu, Z.-D."                  | 2     |
| "Subramanya, G."              | 2     |
| "Sinninghe Damste, J. S."     | 2     |
| "Schlogl, J."                 | 3     |
| "Gallina, P.A."               | 3     |
