--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| title                                                                                                                                                                                                                                                                                                                                                                | count |
| "Miocene vegetation and climatic changes reconstructed from a sporopollen record of the Tianshui Basin, NE Tibetan Plateau"                                                                                                                                                                                                                                          | 7     |
| "Pangean great lake paleoecology on the cusp of the end-Triassic extinction"                                                                                                                                                                                                                                                                                         | 6     |
| "Paleocene Hapalodectes (Mammalia: Mesonychia) from Subeng, Nei Mongol: further evidence of ``East of Eden'' dispersal at the Paleocene-Eocene boundary"                                                                                                                                                                                                             | 6     |
| "A new freshwater crab (Decapoda: Brachyura: Potamonautidae) from the Paleogene of Tanzania, Africa. (With 2 figures and 1 table)"                                                                                                                                                                                                                                   | 16    |
| "New ichnites from the Middle Triassic of the Iberian Ranges (Spain): paleoenvironmental and paleogeographical implications"                                                                                                                                                                                                                                         | 7     |
| "Petrography and high-resolution geochemical records of Lower Jurassic manganese-rich deposits from Monte Mangart, Julian Alps"                                                                                                                                                                                                                                      | 6     |
| "Direct observation of the skeletal growth patterns of polycystine radiolarians using a fluorescent marker"                                                                                                                                                                                                                                                          | 6     |
| "Little Ice Age advance and retreat sediment budgets for an outlet glacier in western Norway"                                                                                                                                                                                                                                                                        | 8     |
| "Biogeochemical processes controlling oxygen and carbon isotopes of diatom silica in Late Glacial to Holocene lacustrine rhythmites"                                                                                                                                                                                                                                 | 7     |
| "The Mendel Formation: Evidence for Late Miocene climatic cyclicity at the northern tip of the Antarctic Peninsula"                                                                                                                                                                                                                                                  | 7     |
| "The Quilon Limestone, Kerala Basin, India: an archive for Miocene Indo-Pacific seagrass beds"                                                                                                                                                                                                                                                                       | 6     |
| "Timing and provenance of loess in the Sichuan Basin, southwestern China"                                                                                                                                                                                                                                                                                            | 7     |
| "Sea ice extent and seasonality for the Early Pliocene northern Weddell Sea"                                                                                                                                                                                                                                                                                         | 10    |
| "Aturia from the Miocene Paratethys: An exceptional window on nautilid habitat and lifestyle"                                                                                                                                                                                                                                                                        | 6     |
| "Miocene climate evolution of northern Europe: A palynological investigation from Denmark"                                                                                                                                                                                                                                                                           | 6     |
| "Gizzard vs. teeth, it's a tie: food-processing efficiency in herbivorous birds and mammals and implications for dinosaur feeding strategies"                                                                                                                                                                                                                        | 6     |
| "Mouvements anciens. Une nouvelle methode permettant de deduire les capacites vestibulaires d'especes eteintes"                                                                                                                                                                                                                                                      | 6     |
| "More than just Nopcsa's Transylvanian dinosaurs: A look outside the Hateg Basin"                                                                                                                                                                                                                                                                                    | 7     |
| "The Valanginian isotope event: A complex suite of palaeoenvironmental perturbations"                                                                                                                                                                                                                                                                                | 8     |
| "Late Quaternary (Weichselian) alluvial history and neotectonic control on fluvial landscape development in the southern Koros plain, Hungary"                                                                                                                                                                                                                       | 9     |
| "Quaternary vegetation changes derived from a loess-like permafrost palaeosol sequence in northeast Siberia using alkane biomarker and pollen analyses"                                                                                                                                                                                                              | 7     |
| "Response of ostracods to abrupt climate changes in the Western Mediterranean (Gulf of Lions) during the last 30kyr"                                                                                                                                                                                                                                                 | 6     |
| "Micropaleontologic record of Quaternary paleoenvironments in the Central Albemarle Embayment, North Carolina, U.S.A."                                                                                                                                                                                                                                               | 10    |
| "Climate variability and glacial processes in eastern Iceland during the past 700 years based on varved lake sediments"                                                                                                                                                                                                                                              | 6     |
| "THE FIRST NEOCERATOPSIAN DINOSAUR REMAINS FROM EUROPE"                                                                                                                                                                                                                                                                                                              | 6     |
| "Late Miocene continental biota in Northeastern Patagonia (Peninsula Valdes, Chubut, Argentina)"                                                                                                                                                                                                                                                                     | 8     |
| "Middle Eocene brachiopods from the Szoc Limestone Formation (Bakony Mountains, Hungary), with a description of a new genus. (With 10 figures)"                                                                                                                                                                                                                      | 6     |
